Fuel,Year,Emissions (CO2/unit_fuel),Cost ($/unit_fuel),Cost Uncertainty (Â±%)
B20,2023,3.04858,1.220845,0
B20,2024,3.04858,1.246802,2
B20,2025,3.04858,1.27331,4
B20,2026,3.04858,1.300382,6
B20,2027,3.04858,1.32803,8
B20,2028,3.04858,1.356265,10
B20,2029,3.04858,1.385101,12
B20,2030,3.04858,1.41455,14
B20,2031,3.04858,1.444625,16
B20,2032,3.04858,1.475339,18
B20,2033,3.04858,1.506706,20
B20,2034,3.04858,1.53874,22
B20,2035,3.04858,1.571455,24
B20,2036,3.04858,1.604866,26
B20,2037,3.04858,1.638987,28
B20,2038,3.04858,1.673834,30
BioLNG,2023,0.378439,1.087817,0
BioLNG,2024,0.378439,1.081461,2
BioLNG,2025,0.378439,1.075143,4
BioLNG,2026,0.378439,1.068861,6
BioLNG,2027,0.378439,1.062616,8
BioLNG,2028,0.378439,1.056408,10
BioLNG,2029,0.378439,1.050236,12
BioLNG,2030,0.378439,1.0441,14
BioLNG,2031,0.378439,1.038,16
BioLNG,2032,0.378439,1.031936,18
BioLNG,2033,0.378439,1.025907,20
BioLNG,2034,0.378439,1.019913,22
BioLNG,2035,0.378439,1.013954,24
BioLNG,2036,0.378439,1.00803,26
BioLNG,2037,0.378439,1.002141,28
BioLNG,2038,0.378439,0.996286,30
Electricity,2023,0.0,0.191791,0
Electricity,2024,0.0,0.184113,2
Electricity,2025,0.0,0.176742,4
Electricity,2026,0.0,0.169666,6
Electricity,2027,0.0,0.162873,8
Electricity,2028,0.0,0.156352,10
Electricity,2029,0.0,0.150092,12
Electricity,2030,0.0,0.144083,14
Electricity,2031,0.0,0.138315,16
Electricity,2032,0.0,0.132778,18
Electricity,2033,0.0,0.127462,20
Electricity,2034,0.0,0.122359,22
Electricity,2035,0.0,0.11746,24
Electricity,2036,0.0,0.112757,26
Electricity,2037,0.0,0.108243,28
Electricity,2038,0.0,0.103909,30
HVO,2023,0.487624,1.814314,0
HVO,2024,0.487624,1.794763,2
HVO,2025,0.487624,1.775423,4
HVO,2026,0.487624,1.756291,6
HVO,2027,0.487624,1.737365,8
HVO,2028,0.487624,1.718643,10
HVO,2029,0.487624,1.700123,12
HVO,2030,0.487624,1.681803,14
HVO,2031,0.487624,1.66368,16
HVO,2032,0.487624,1.645752,18
HVO,2033,0.487624,1.628018,20
HVO,2034,0.487624,1.610475,22
HVO,2035,0.487624,1.593121,24
HVO,2036,0.487624,1.575954,26
HVO,2037,0.487624,1.558972,28
HVO,2038,0.487624,1.542173,30
LNG,2023,2.486188,1.011618,0
LNG,2024,2.486188,1.005708,2
LNG,2025,2.486188,0.999832,4
LNG,2026,2.486188,0.993991,6
LNG,2027,2.486188,0.988184,8
LNG,2028,2.486188,0.982411,10
LNG,2029,2.486188,0.976671,12
LNG,2030,2.486188,0.970965,14
LNG,2031,2.486188,0.965292,16
LNG,2032,2.486188,0.959652,18
LNG,2033,2.486188,0.954045,20
LNG,2034,2.486188,0.948471,22
LNG,2035,2.486188,0.94293,24
LNG,2036,2.486188,0.937421,26
LNG,2037,2.486188,0.931944,28
LNG,2038,2.486188,0.926499,30
