ID,Vehicle,Size,Year,Cost ($),Yearly range (km),Distance
BEV_S1_2023,BEV,S1,2023,187000,102000,D1
BEV_S1_2024,BEV,S1,2024,177650,102000,D1
BEV_S1_2025,BEV,S1,2025,168767,102000,D1
BEV_S1_2026,BEV,S1,2026,160329,102000,D2
BEV_S1_2027,BEV,S1,2027,152312,102000,D2
BEV_S1_2028,BEV,S1,2028,144697,102000,D2
BEV_S1_2029,BEV,S1,2029,137462,102000,D3
BEV_S1_2030,BEV,S1,2030,130589,102000,D3
BEV_S1_2031,BEV,S1,2031,130589,102000,D3
BEV_S1_2032,BEV,S1,2032,130589,102000,D4
BEV_S1_2033,BEV,S1,2033,130589,102000,D4
BEV_S1_2034,BEV,S1,2034,130589,102000,D4
BEV_S1_2035,BEV,S1,2035,130589,102000,D4
BEV_S1_2036,BEV,S1,2036,130589,102000,D4
BEV_S1_2037,BEV,S1,2037,130589,102000,D4
BEV_S1_2038,BEV,S1,2038,130589,102000,D4
BEV_S2_2023,BEV,S2,2023,272000,106000,D1
BEV_S2_2024,BEV,S2,2024,258400,106000,D1
BEV_S2_2025,BEV,S2,2025,245480,106000,D1
BEV_S2_2026,BEV,S2,2026,233206,106000,D2
BEV_S2_2027,BEV,S2,2027,221545,106000,D2
BEV_S2_2028,BEV,S2,2028,210468,106000,D2
BEV_S2_2029,BEV,S2,2029,199944,106000,D3
BEV_S2_2030,BEV,S2,2030,189947,106000,D3
BEV_S2_2031,BEV,S2,2031,189947,106000,D3
BEV_S2_2032,BEV,S2,2032,189947,106000,D4
BEV_S2_2033,BEV,S2,2033,189947,106000,D4
BEV_S2_2034,BEV,S2,2034,189947,106000,D4
BEV_S2_2035,BEV,S2,2035,189947,106000,D4
BEV_S2_2036,BEV,S2,2036,189947,106000,D4
BEV_S2_2037,BEV,S2,2037,189947,106000,D4
BEV_S2_2038,BEV,S2,2038,189947,106000,D4
BEV_S4_2023,BEV,S4,2023,395636,118000,D1
BEV_S4_2024,BEV,S4,2024,375854,118000,D1
BEV_S4_2025,BEV,S4,2025,357061,118000,D1
BEV_S4_2026,BEV,S4,2026,339208,118000,D2
BEV_S4_2027,BEV,S4,2027,322248,118000,D2
BEV_S4_2028,BEV,S4,2028,306135,118000,D2
BEV_S4_2029,BEV,S4,2029,290829,118000,D3
BEV_S4_2030,BEV,S4,2030,276287,118000,D3
BEV_S4_2031,BEV,S4,2031,276287,118000,D3
BEV_S4_2032,BEV,S4,2032,276287,118000,D4
BEV_S4_2033,BEV,S4,2033,276287,118000,D4
BEV_S4_2034,BEV,S4,2034,276287,118000,D4
BEV_S4_2035,BEV,S4,2035,276287,118000,D4
BEV_S4_2036,BEV,S4,2036,276287,118000,D4
BEV_S4_2037,BEV,S4,2037,276287,118000,D4
BEV_S4_2038,BEV,S4,2038,276287,118000,D4
BEV_S3_2023,BEV,S3,2023,309090,73000,D1
BEV_S3_2024,BEV,S3,2024,293636,73000,D1
BEV_S3_2025,BEV,S3,2025,278954,73000,D1
BEV_S3_2026,BEV,S3,2026,265006,73000,D2
BEV_S3_2027,BEV,S3,2027,251756,73000,D2
BEV_S3_2028,BEV,S3,2028,239168,73000,D2
BEV_S3_2029,BEV,S3,2029,227210,73000,D3
BEV_S3_2030,BEV,S3,2030,215849,73000,D3
BEV_S3_2031,BEV,S3,2031,215849,73000,D3
BEV_S3_2032,BEV,S3,2032,215849,73000,D4
BEV_S3_2033,BEV,S3,2033,215849,73000,D4
BEV_S3_2034,BEV,S3,2034,215849,73000,D4
BEV_S3_2035,BEV,S3,2035,215849,73000,D4
BEV_S3_2036,BEV,S3,2036,215849,73000,D4
BEV_S3_2037,BEV,S3,2037,215849,73000,D4
BEV_S3_2038,BEV,S3,2038,215849,73000,D4
Diesel_S1_2023,Diesel,S1,2023,85000,102000,D4
Diesel_S1_2024,Diesel,S1,2024,87550,102000,D4
Diesel_S1_2025,Diesel,S1,2025,90176,102000,D4
Diesel_S1_2026,Diesel,S1,2026,92881,102000,D4
Diesel_S1_2027,Diesel,S1,2027,95668,102000,D4
Diesel_S1_2028,Diesel,S1,2028,98538,102000,D4
Diesel_S1_2029,Diesel,S1,2029,101494,102000,D4
Diesel_S1_2030,Diesel,S1,2030,104539,102000,D4
Diesel_S1_2031,Diesel,S1,2031,107675,102000,D4
Diesel_S1_2032,Diesel,S1,2032,110905,102000,D4
Diesel_S1_2033,Diesel,S1,2033,114232,102000,D4
Diesel_S1_2034,Diesel,S1,2034,117659,102000,D4
Diesel_S1_2035,Diesel,S1,2035,121189,102000,D4
Diesel_S1_2036,Diesel,S1,2036,124825,102000,D4
Diesel_S1_2037,Diesel,S1,2037,128570,102000,D4
Diesel_S1_2038,Diesel,S1,2038,132427,102000,D4
Diesel_S2_2023,Diesel,S2,2023,104000,106000,D4
Diesel_S2_2024,Diesel,S2,2024,107120,106000,D4
Diesel_S2_2025,Diesel,S2,2025,110333,106000,D4
Diesel_S2_2026,Diesel,S2,2026,113643,106000,D4
Diesel_S2_2027,Diesel,S2,2027,117052,106000,D4
Diesel_S2_2028,Diesel,S2,2028,120564,106000,D4
Diesel_S2_2029,Diesel,S2,2029,124181,106000,D4
Diesel_S2_2030,Diesel,S2,2030,127906,106000,D4
Diesel_S2_2031,Diesel,S2,2031,131744,106000,D4
Diesel_S2_2032,Diesel,S2,2032,135696,106000,D4
Diesel_S2_2033,Diesel,S2,2033,139767,106000,D4
Diesel_S2_2034,Diesel,S2,2034,143960,106000,D4
Diesel_S2_2035,Diesel,S2,2035,148279,106000,D4
Diesel_S2_2036,Diesel,S2,2036,152727,106000,D4
Diesel_S2_2037,Diesel,S2,2037,157309,106000,D4
Diesel_S2_2038,Diesel,S2,2038,162028,106000,D4
Diesel_S4_2023,Diesel,S4,2023,151272,118000,D4
Diesel_S4_2024,Diesel,S4,2024,155810,118000,D4
Diesel_S4_2025,Diesel,S4,2025,160485,118000,D4
Diesel_S4_2026,Diesel,S4,2026,165299,118000,D4
Diesel_S4_2027,Diesel,S4,2027,170258,118000,D4
Diesel_S4_2028,Diesel,S4,2028,175366,118000,D4
Diesel_S4_2029,Diesel,S4,2029,180627,118000,D4
Diesel_S4_2030,Diesel,S4,2030,186046,118000,D4
Diesel_S4_2031,Diesel,S4,2031,191627,118000,D4
Diesel_S4_2032,Diesel,S4,2032,197376,118000,D4
Diesel_S4_2033,Diesel,S4,2033,203297,118000,D4
Diesel_S4_2034,Diesel,S4,2034,209396,118000,D4
Diesel_S4_2035,Diesel,S4,2035,215678,118000,D4
Diesel_S4_2036,Diesel,S4,2036,222149,118000,D4
Diesel_S4_2037,Diesel,S4,2037,228813,118000,D4
Diesel_S4_2038,Diesel,S4,2038,235677,118000,D4
Diesel_S3_2023,Diesel,S3,2023,118181,73000,D4
Diesel_S3_2024,Diesel,S3,2024,121727,73000,D4
Diesel_S3_2025,Diesel,S3,2025,125379,73000,D4
Diesel_S3_2026,Diesel,S3,2026,129140,73000,D4
Diesel_S3_2027,Diesel,S3,2027,133014,73000,D4
Diesel_S3_2028,Diesel,S3,2028,137005,73000,D4
Diesel_S3_2029,Diesel,S3,2029,141115,73000,D4
Diesel_S3_2030,Diesel,S3,2030,145348,73000,D4
Diesel_S3_2031,Diesel,S3,2031,149709,73000,D4
Diesel_S3_2032,Diesel,S3,2032,154200,73000,D4
Diesel_S3_2033,Diesel,S3,2033,158826,73000,D4
Diesel_S3_2034,Diesel,S3,2034,163591,73000,D4
Diesel_S3_2035,Diesel,S3,2035,168499,73000,D4
Diesel_S3_2036,Diesel,S3,2036,173553,73000,D4
Diesel_S3_2037,Diesel,S3,2037,178760,73000,D4
Diesel_S3_2038,Diesel,S3,2038,184123,73000,D4
LNG_S1_2023,LNG,S1,2023,100000,102000,D4
LNG_S1_2024,LNG,S1,2024,103000,102000,D4
LNG_S1_2025,LNG,S1,2025,106090,102000,D4
LNG_S1_2026,LNG,S1,2026,109272,102000,D4
LNG_S1_2027,LNG,S1,2027,112550,102000,D4
LNG_S1_2028,LNG,S1,2028,115927,102000,D4
LNG_S1_2029,LNG,S1,2029,119405,102000,D4
LNG_S1_2030,LNG,S1,2030,122987,102000,D4
LNG_S1_2031,LNG,S1,2031,126677,102000,D4
LNG_S1_2032,LNG,S1,2032,130477,102000,D4
LNG_S1_2033,LNG,S1,2033,134391,102000,D4
LNG_S1_2034,LNG,S1,2034,138423,102000,D4
LNG_S1_2035,LNG,S1,2035,142576,102000,D4
LNG_S1_2036,LNG,S1,2036,146853,102000,D4
LNG_S1_2037,LNG,S1,2037,151258,102000,D4
LNG_S1_2038,LNG,S1,2038,155796,102000,D4
LNG_S2_2023,LNG,S2,2023,133000,106000,D4
LNG_S2_2024,LNG,S2,2024,136990,106000,D4
LNG_S2_2025,LNG,S2,2025,141099,106000,D4
LNG_S2_2026,LNG,S2,2026,145332,106000,D4
LNG_S2_2027,LNG,S2,2027,149692,106000,D4
LNG_S2_2028,LNG,S2,2028,154183,106000,D4
LNG_S2_2029,LNG,S2,2029,158808,106000,D4
LNG_S2_2030,LNG,S2,2030,163573,106000,D4
LNG_S2_2031,LNG,S2,2031,168480,106000,D4
LNG_S2_2032,LNG,S2,2032,173534,106000,D4
LNG_S2_2033,LNG,S2,2033,178740,106000,D4
LNG_S2_2034,LNG,S2,2034,184103,106000,D4
LNG_S2_2035,LNG,S2,2035,189626,106000,D4
LNG_S2_2036,LNG,S2,2036,195314,106000,D4
LNG_S2_2037,LNG,S2,2037,201174,106000,D4
LNG_S2_2038,LNG,S2,2038,207209,106000,D4
LNG_S4_2023,LNG,S4,2023,193454,118000,D4
LNG_S4_2024,LNG,S4,2024,199258,118000,D4
LNG_S4_2025,LNG,S4,2025,205235,118000,D4
LNG_S4_2026,LNG,S4,2026,211393,118000,D4
LNG_S4_2027,LNG,S4,2027,217734,118000,D4
LNG_S4_2028,LNG,S4,2028,224266,118000,D4
LNG_S4_2029,LNG,S4,2029,230994,118000,D4
LNG_S4_2030,LNG,S4,2030,237924,118000,D4
LNG_S4_2031,LNG,S4,2031,245062,118000,D4
LNG_S4_2032,LNG,S4,2032,252414,118000,D4
LNG_S4_2033,LNG,S4,2033,259986,118000,D4
LNG_S4_2034,LNG,S4,2034,267786,118000,D4
LNG_S4_2035,LNG,S4,2035,275819,118000,D4
LNG_S4_2036,LNG,S4,2036,284094,118000,D4
LNG_S4_2037,LNG,S4,2037,292617,118000,D4
LNG_S4_2038,LNG,S4,2038,301395,118000,D4
LNG_S3_2023,LNG,S3,2023,151136,73000,D4
LNG_S3_2024,LNG,S3,2024,155670,73000,D4
LNG_S3_2025,LNG,S3,2025,160340,73000,D4
LNG_S3_2026,LNG,S3,2026,165150,73000,D4
LNG_S3_2027,LNG,S3,2027,170105,73000,D4
LNG_S3_2028,LNG,S3,2028,175208,73000,D4
LNG_S3_2029,LNG,S3,2029,180464,73000,D4
LNG_S3_2030,LNG,S3,2030,185878,73000,D4
LNG_S3_2031,LNG,S3,2031,191455,73000,D4
LNG_S3_2032,LNG,S3,2032,197198,73000,D4
LNG_S3_2033,LNG,S3,2033,203114,73000,D4
LNG_S3_2034,LNG,S3,2034,209208,73000,D4
LNG_S3_2035,LNG,S3,2035,215484,73000,D4
LNG_S3_2036,LNG,S3,2036,221948,73000,D4
LNG_S3_2037,LNG,S3,2037,228607,73000,D4
LNG_S3_2038,LNG,S3,2038,235465,73000,D4
